Test.data,Classifier,Feature.Selection,Features,Additional.Information,Discretisation.method,Discretisation.width.number,Number.of.features,AUC,fscore2,precision,recall,Features
Mix,Logistic Regression,Backward MRMR pearson,Original Radiomics Features,Combat harmonization,FBW,0.1,2,0.45,0.23,0.15,0.28,"GLDZM_DZNN_0.1, IVH_RVRI_10_0.1"
Mix,Logistic Regression,Backward MRMR pearson,Original Radiomics Features,Combat harmonization,FBW,0.05,2,0.42,0.21,0.15,0.25,"GLDZM_DZNN_0.05, IVH_RVRI_60_0.05"
Mix,Logistic Regression,Backward MRMR pearson,Original Radiomics Features,Combat harmonization,FBN,64,8,0.51,0.35,0.22,0.43,"GLDZM_DZNN_64, GLDZM_HILDE_64, GLDZM_SDE_64, IVH_RVRI_10_64, IVH_RVRI_70_64, Shape_elongation_64, Shape_volumeDensityBB_64, Stats_qcod_64"
Mix,Logistic Regression,Backward MRMR pearson,Original Radiomics Features,Combat harmonization,FBN,32,10,0.62,0.44,0.25,0.56,"GLCM_energy_32, GLDZM_DZNN_32, GLDZM_DZV_32, GLDZM_HILDE_32, GLDZM_LDE_32, GLDZM_SDE_32, IVH_RVRI_10_32, Shape_elongation_32, Shape_volumeDensityBB_32, Stats_qcod_32"
Mix,Logistic Regression,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.5,9,0.55,0.42,0.24,0.52,"Age, Histology, Metastasis, IH_skewness_0.5, IVH_RVRI_50_0.5, IVH_RVRI_60_0.5, Shape_leastaxislength_0.5, Shape_volumeDensityBB_0.5, Stats_skewness_0.5"
Mix,Logistic Regression,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.2,8,0.62,0.49,0.31,0.58,"Age, Histology, Metastasis, IH_skewness_0.2, IVH_RVRI_50_0.2, IVH_RVRI_60_0.2, Shape_volumeDensityBB_0.2, Stats_skewness_0.2"
Mix,Logistic Regression,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.1,7,0.59,0.44,0.27,0.52,"Age, Histology, Metastasis, IVH_RVRI_50_0.1, IVH_RVRI_60_0.1, Shape_volumeDensityBB_0.1, Stats_skewness_0.1"
Mix,Logistic Regression,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.05,8,0.69,0.55,0.31,0.69,"Age, Histology, Metastasis, IVH_RVRI_40_0.05, IVH_RVRI_50_0.05, IVH_RVRI_60_0.05, NGTDM_strength_0.05, Shape_volumeDensityBE_0.05"
Mix,Logistic Regression,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Clinical,FBN,64,8,0.59,0.44,0.27,0.52,"Age, Histology, Metastasis, GLCM_clusShade_64, IH_minGradI_64, IVH_RVRI_50_64, Shape_volumeDensityBB_64, Stats_skewness_64"
Mix,Logistic Regression,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Clinical,FBN,32,5,0.62,0.46,0.3,0.54,"Age, Histology, Metastasis, NGTDM_strength_32, Shape_volumeDensityBE_32"
Mix,Logistic Regression,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Interpolation,FBW,0.5,5,0.48,0.31,0.18,0.39,"IVH_RVRI_10_0.5, Shape_areaDensityBB_0.5, Shape_flatness_0.5, Shape_volumeDensityBB_0.5, Stats_skewness_0.5"
Mix,Logistic Regression,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Interpolation,FBW,0.2,10,0.64,0.46,0.25,0.59,"GLCM_clusShade_0.2, GLCM_infoCorr2_0.2, IH_kurtosis_0.2, IH_skewness_0.2, IVH_RVRI_10_0.2, Shape_flatness_0.2, Shape_leastaxislength_0.2, Shape_volumeDensityBB_0.2, Stats_kurtosis_0.2, Stats_skewness_0.2"
Mix,Logistic Regression,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Interpolation,FBW,0.1,8,0.41,0.27,0.15,0.34,"GLCM_infoCorr2_0.1, GLDZM_LDE_0.1, IH_kurtosis_0.1, IH_skewness_0.1, Shape_leastaxislength_0.1, Shape_volumeDensityBB_0.1, Stats_kurtosis_0.1, Stats_skewness_0.1"
Mix,Logistic Regression,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Interpolation,FBW,0.05,8,0.51,0.32,0.17,0.41,"Fractal_average_0.05, IH_kurtosis_0.05, IVH_AVRI_80_0.05, IVH_RVRI_10_0.05, NGTDM_strength_0.05, Shape_maxDiameter2D1_0.05, Shape_volumeDensityBE_0.05, Stats_kurtosis_0.05"
Mix,Logistic Regression,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Interpolation,FBN,64,8,0.47,0.29,0.19,0.35,"GLCM_clusShade_64, IH_minGradI_64, IH_skewness_64, Shape_areaDensityBB_64, Shape_volumeDensityBB_64, Stats_cov_64, Stats_qcod_64, Stats_skewness_64"
Mix,Logistic Regression,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Interpolation,FBN,32,3,0.52,0.34,0.19,0.43,"NGTDM_strength_32, Shape_centroidDistance_32, Shape_flatness_32"
Mix,Logistic Regression,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBW,0.5,6,0.51,0.38,0.22,0.47,"Fractal_sd_0.5, IH_skewness_0.5, IVH_RVRI_50_0.5, IVH_RVRI_60_0.5, Shape_surfVolRatio_0.5, Stats_skewness_0.5"
Mix,Logistic Regression,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBW,0.2,8,0.43,0.28,0.17,0.34,"GLDZM_LDE_0.2, GLDZM_SDE_0.2, GLSZM_SAE_0.2, IH_skewness_0.2, IVH_RVRI_50_0.2, IVH_RVRI_60_0.2, Stats_kurtosis_0.2, Stats_skewness_0.2"
Mix,Logistic Regression,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBW,0.1,6,0.37,0.26,0.16,0.32,"GLCM_clusShade_0.1, GLDZM_DZNN_0.1, GLDZM_LDE_0.1, GLDZM_SDE_0.1, IH_skewness_0.1, Stats_skewness_0.1"
Mix,Logistic Regression,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBW,0.05,9,0.5,0.41,0.21,0.55,"GLCM_clusShade_0.05, GLCM_infoCorr2_0.05, IH_skewness_0.05, IVH_RVRI_50_0.05, NGTDM_strength_0.05, Shape_areaDensityBE_0.05, Shape_centroidDistance_0.05, Shape_volumeDensityBE_0.05, Stats_skewness_0.05"
Mix,Logistic Regression,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBN,64,10,0.58,0.42,0.28,0.5,"IH_skewness_64, IVH_MIRV_10_64, Stats_iqr_64, Stats_meanD_64, Stats_medianD_64, Stats_qcod_64, Stats_rMeanD_64, Stats_range_64, Stats_skewness_64, Stats_std_64"
Mix,Logistic Regression,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBN,32,7,0.49,0.31,0.19,0.38,"IH_skewness_32, Shape_centroidDistance_32, Stats_cov_32, Stats_iqr_32, Stats_medianD_32, Stats_qcod_32, Stats_skewness_32"
Mix,Logistic Regression,Forward MRMR MI,Original Radiomics Features,Clinical,FBW,0.5,10,0.6,0.34,0.26,0.38,"IH_energy_0.5, GLCM_clusProm_0.5, GLCM_clusShade_0.5, GLSZM_SZV_0.5, IVH_RVRI_10_0.5, GLCM_contrast_0.5, GLSZM_LILAE_0.5, NGTDM_complexity_0.5, Histology, IVH_RVRI_20_0.5"
Mix,Logistic Regression,Forward MRMR MI,Original Radiomics Features,Clinical,FBW,0.2,10,0.55,0.32,0.24,0.37,"IH_energy_0.2, GLCM_clusProm_0.2, GLSZM_LILAE_0.2, GLCM_clusShade_0.2, IVH_RVRI_10_0.2, GLCM_contrast_0.2, NGLDM_LGLDE_0.2, IVH_RVRI_20_0.2, NGTDM_complexity_0.2, Histology"
Mix,Logistic Regression,Forward MRMR MI,Original Radiomics Features,Clinical,FBW,0.1,9,0.57,0.35,0.26,0.39,"IH_energy_0.1, GLCM_clusProm_0.1, GLSZM_LILAE_0.1, GLCM_clusShade_0.1, IVH_RVRI_10_0.1, GLCM_contrast_0.1, NGLDM_LGLDE_0.1, IVH_RVRI_20_0.1, Histology"
Mix,Logistic Regression,Forward MRMR MI,Original Radiomics Features,Clinical,FBW,0.05,8,0.39,0.04,0.02,0.05,"IH_energy_0.05, GLCM_clusProm_0.05, GLRLM_LRE_0.05, GLCM_clusShade_0.05, GLRLM_RLV_0.05, GLCM_contrast_0.05, IVH_RVRI_10_0.05, GLRLM_LRLGE_0.05"
Mix,Logistic Regression,Forward MRMR MI,Original Radiomics Features,Clinical,FBN,64,10,0.57,0.37,0.25,0.43,"IH_energy_64, IVH_RVRI_10_64, IVH_RVRI_20_64, Histology, Stats_var_64, NGTDM_contrast_64, Metastasis, NGTDM_busyness_64, GLSZM_LILAE_64, IVH_RVRI_80_64"
Mix,Logistic Regression,Forward MRMR MI,Original Radiomics Features,Clinical,FBN,32,9,0.47,0.32,0.22,0.37,"IH_energy_32, GLSZM_LILAE_32, IVH_RVRI_10_32, IVH_RVRI_20_32, Histology, Stats_var_32, GLSZM_LAE_32, Metastasis, IVH_RVRI_80_32"
Mix,Logistic Regression,Forward MRMR MI,Original Radiomics Features,Interpolation,FBW,0.5,7,0.47,0.05,0.03,0.07,"IH_energy_0.5, IVH_RVRI_10_0.5, GLCM_clusShade_0.5, GLCM_clusProm_0.5, GLSZM_LILAE_0.5, IVH_RVRI_20_0.5, NGTDM_complexity_0.5"
Mix,Logistic Regression,Forward MRMR MI,Original Radiomics Features,Interpolation,FBW,0.2,9,0.37,0.02,0.01,0.03,"IH_energy_0.2, IVH_RVRI_10_0.2, GLCM_clusShade_0.2, GLCM_clusProm_0.2, GLSZM_LILAE_0.2, IVH_RVRI_20_0.2, GLSZM_SZV_0.2, GLCM_contrast_0.2, GLCM_energy_0.2"
Mix,Logistic Regression,Forward MRMR MI,Original Radiomics Features,Interpolation,FBW,0.1,10,0.36,0.04,0.02,0.06,"IH_energy_0.1, IVH_RVRI_10_0.1, GLCM_clusShade_0.1, GLCM_clusProm_0.1, IVH_RVRI_20_0.1, GLSZM_LILAE_0.1, NGTDM_contrast_0.1, NGTDM_complexity_0.1, GLCM_energy_0.1, GLCM_contrast_0.1"
Mix,Logistic Regression,Forward MRMR MI,Original Radiomics Features,Interpolation,FBW,0.05,10,0.44,0.18,0.1,0.22,"IH_energy_0.05, GLSZM_LILAE_0.05, NGLDM_LGLDE_0.05, GLCM_clusShade_0.05, IVH_RVRI_10_0.05, GLCM_clusProm_0.05, GLSZM_LAE_0.05, NGTDM_contrast_0.05, GLSZM_SZV_0.05, IH_max_0.05"
Mix,Logistic Regression,Forward MRMR MI,Original Radiomics Features,Interpolation,FBN,64,5,0.49,0.12,0.08,0.16,"IH_energy_64, IVH_RVRI_10_64, IVH_RVRI_20_64, Stats_var_64, NGTDM_contrast_64"
Mix,Logistic Regression,Forward MRMR MI,Original Radiomics Features,Interpolation,FBN,32,10,0.54,0.21,0.13,0.26,"IH_energy_32, IVH_RVRI_10_32, IVH_RVRI_20_32, NGLDM_LGLDE_32, GLSZM_LILAE_32, Stats_var_32, GLSZM_SZV_32, GLCM_energy_32, GLSZM_LAE_32, IVH_RVRI_30_32"
Mix,Logistic Regression,Forward MRMR MI,Original Radiomics Features,Combat harmonization,FBW,0.5,5,0.44,0.18,0.1,0.24,"IH_entropy_0.5, IVH_RVRI_10_0.5, GLCM_clusShade_0.5, IVH_AVRI_90_0.5, GLSZM_LAE_0.5"
Mix,Logistic Regression,Forward MRMR MI,Original Radiomics Features,Combat harmonization,FBW,0.2,6,0.45,0.22,0.14,0.26,"GLDZM_DZV_0.2, GLSZM_LILAE_0.2, GLCM_clusProm_0.2, IVH_RVRI_10_0.2, IVH_RVRI_80_0.2, GLCM_clusShade_0.2"
Mix,Logistic Regression,Forward MRMR MI,Original Radiomics Features,Combat harmonization,FBW,0.1,7,0.49,0.28,0.21,0.32,"GLDZM_LDE_0.1, GLSZM_LILAE_0.1, IVH_RVRI_10_0.1, GLCM_clusProm_0.1, IVH_RVRI_80_0.1, NGTDM_contrast_0.1, IVH_RVRI_20_0.1"
Mix,Logistic Regression,Forward MRMR MI,Original Radiomics Features,Combat harmonization,FBW,0.05,6,0.44,0.31,0.18,0.38,"GLDZM_LDE_0.05, GLSZM_LAE_0.05, GLCM_sumSquares_0.05, IVH_RVRI_10_0.05, IVH_RVRI_80_0.05, GLSZM_LILAE_0.05"
Mix,Logistic Regression,Forward MRMR MI,Original Radiomics Features,Combat harmonization,FBN,64,3,0.41,0.24,0.15,0.28,"GLDZM_DZNN_64, IVH_RVRI_10_64, Stats_var_64"
Mix,Logistic Regression,Forward MRMR MI,Original Radiomics Features,Combat harmonization,FBN,32,6,0.38,0.21,0.13,0.26,"GLRLM_LRLGE_32, IVH_RVRI_10_32, GLSZM_LILAE_32, IVH_TLGRI_60_32, IVH_RVRI_80_32, GLSZM_SZV_32"
Mix,Logistic Regression,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.5,3,0.37,0.25,0.13,0.34,"Age, GLSZM_HISAE_0.5, GLSZM_LISAE_0.5"
Mix,Logistic Regression,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.2,10,0.61,0.42,0.24,0.53,"Age, Stats_skewness_0.2, GLSZM_HISAE_0.2, IVH_RVRI_10_0.2, IVH_AVRI_90_0.2, GLCM_clusShade_0.2, GLSZM_LILAE_0.2, IVH_RVRI_90_0.2, Histology, GLCM_clusProm_0.2"
Mix,Logistic Regression,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.1,10,0.63,0.43,0.29,0.5,"Age, Stats_skewness_0.1, GLSZM_SZV_0.1, IVH_AVRI_90_0.1, IVH_RVRI_10_0.1, GLCM_clusProm_0.1, IH_skewness_0.1, IVH_RVRI_70_0.1, Histology, IVH_RVRI_90_0.1"
Mix,Logistic Regression,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.05,10,0.49,0.19,0.12,0.23,"Age, GLSZM_LAE_0.05, GLSZM_SZV_0.05, IVH_AVRI_90_0.05, GLCM_clusProm_0.05, IVH_RVRI_10_0.05, Stats_skewness_0.05, IVH_RVRI_90_0.05, IH_maxGrad_0.05, GLDZM_INN_0.05"
Mix,Logistic Regression,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Clinical,FBN,64,7,0.39,0.16,0.09,0.2,"Age, GLCM_clusShade_64, IH_minGradI_64, IVH_RVRI_10_64, Stats_skewness_64, IVH_AVRI_90_64, NGTDM_busyness_64"
Mix,Logistic Regression,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Clinical,FBN,32,10,0.64,0.45,0.27,0.54,"Age, GLSZM_LILAE_32, GLCM_clusShade_32, IVH_AVRI_90_32, IVH_RVRI_10_32, Stats_skewness_32, IVH_RVRI_70_32, NGTDM_busyness_32, Histology, IVH_AVRI_80_32"
Mix,Logistic Regression,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Interpolation,FBW,0.5,10,0.66,0.33,0.24,0.39,"Stats_qcod_0.5, GLSZM_HISAE_0.5, IVH_AVRI_80_0.5, GLCM_clusShade_0.5, IVH_RVRI_10_0.5, Stats_skewness_0.5, GLSZM_LISAE_0.5, IVH_RVRI_90_0.5, IVH_RVRI_20_0.5, GLSZM_SAE_0.5"
Mix,Logistic Regression,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Interpolation,FBW,0.2,5,0.42,0.11,0.06,0.14,"GLDZM_DZE_0.2, IVH_AVRI_80_0.2, IVH_RVRI_20_0.2, Stats_skewness_0.2, GLCM_clusShade_0.2"
Mix,Logistic Regression,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Interpolation,FBW,0.1,10,0.43,0.11,0.07,0.14,"GLDZM_HILDE_0.1, GLRLM_SRLGE_0.1, IVH_AVRI_80_0.1, IVH_RVRI_10_0.1, GLCM_clusShade_0.1, IVH_RVRI_20_0.1, GLSZM_SZV_0.1, IVH_AVRI_90_0.1, Stats_skewness_0.1, GLCM_clusProm_0.1"
Mix,Logistic Regression,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Interpolation,FBW,0.05,9,0.6,0.4,0.26,0.47,"Stats_qcod_0.05, IVH_AVRI_80_0.05, IVH_RVRI_10_0.05, NGTDM_contrast_0.05, NGTDM_coarseness_0.05, Stats_skewness_0.05, IVH_AVRI_90_0.05, GLCM_clusProm_0.05, Shape_minoraxislength_0.05"
Mix,Logistic Regression,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Interpolation,FBN,64,6,0.71,0.42,0.26,0.5,"IH_p90_64, GLCM_clusShade_64, IH_minGradI_64, IH_skewness_64, IVH_RVRI_20_64, IVH_AVRI_80_64"
Mix,Logistic Regression,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Interpolation,FBN,32,7,0.63,0.44,0.25,0.56,"GLDZM_HIE_32, IVH_RVRI_10_32, Stats_var_32, IVH_AVRI_80_32, Shape_volume_32, GLSZM_SZV_32, Shape_centroidDistance_32"
Mix,Logistic Regression,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBW,0.5,10,0.58,0.36,0.2,0.46,"IH_entropy_0.5, GLSZM_HISAE_0.5, IVH_AVRI_80_0.5, GLSZM_LISAE_0.5, Stats_skewness_0.5, IVH_RVRI_90_0.5, GLCM_clusShade_0.5, IVH_RVRI_10_0.5, GLSZM_LILAE_0.5, GLSZM_SAE_0.5"
Mix,Logistic Regression,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBW,0.2,8,0.41,0.27,0.15,0.35,"IVH_AIRV_60_0.2, IVH_AVRI_90_0.2, Stats_skewness_0.2, GLSZM_LILAE_0.2, GLCM_clusProm_0.2, IVH_RVRI_70_0.2, IVH_RVRI_10_0.2, GLSZM_SZV_0.2"
Mix,Logistic Regression,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBW,0.1,7,0.43,0.3,0.19,0.37,"GLDZM_DZNN_0.1, GLCM_clusShade_0.1, Stats_skewness_0.1, IVH_AVRI_80_0.1, GLDZM_HILDE_0.1, NGLDM_LGLDE_0.1, IVH_RVRI_90_0.1"
Mix,Logistic Regression,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBW,0.05,9,0.41,0.3,0.16,0.4,"GLDZM_HILDE_0.05, IVH_RVRI_70_0.05, GLSZM_LAE_0.05, Stats_skewness_0.05, GLCM_energy_0.05, IVH_AVRI_90_0.05, GLCM_clusShade_0.05, Shape_areaDensityBE_0.05, IVH_RVRI_10_0.05"
Mix,Logistic Regression,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBN,64,10,0.46,0.3,0.18,0.36,"GLDZM_HIE_64, IH_skewness_64, GLDZM_DZNN_64, GLCM_clusShade_64, IVH_AVRI_90_64, IVH_RVRI_10_64, GLDZM_INN_64, IVH_AVRI_80_64, Stats_var_64, IVH_RVRI_70_64"
Mix,Logistic Regression,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBN,32,9,0.41,0.2,0.12,0.24,"NGLDM_HGSDE_32, GLCM_clusShade_32, IH_skewness_32, IVH_TLGRI_70_32, GLSZM_LISAE_32, IVH_AVRI_90_32, IVH_RVRI_10_32, GLSZM_SZV_32, Stats_var_32"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Original Radiomics Features,Clinical,FBW,0.5,5,0.57,0.47,0.23,0.64,"IVH_RVRI_80_0.5, IVH_RVRI_70_0.5, IVH_RVRI_60_0.5, GLDZM_LDE_0.5, Shape_centroidDistance_0.5"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Original Radiomics Features,Clinical,FBW,0.2,1,0.45,0.29,0.2,0.35,IVH_RVRI_70_0.2
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Original Radiomics Features,Clinical,FBW,0.1,1,0.45,0.29,0.2,0.35,IVH_RVRI_70_0.1
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Original Radiomics Features,Clinical,FBW,0.05,4,0.57,0.44,0.25,0.55,"IVH_RVRI_70_0.05, IVH_RVRI_60_0.05, IVH_RVRI_80_0.05, GLCM_maxProb_0.05"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Original Radiomics Features,Clinical,FBN,64,1,0.45,0.29,0.2,0.35,IVH_RVRI_70_64
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Original Radiomics Features,Clinical,FBN,32,1,0.47,0.3,0.2,0.36,IVH_RVRI_60_32
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Original Radiomics Features,Interpolation,FBW,0.5,10,0.62,0.41,0.23,0.51,"IVH_RVRI_80_0.5, IVH_RVRI_70_0.5, Shape_centroidDistance_0.5, NGLDM_LGSDE_0.5, GLSZM_LISAE_0.5, IVH_AVRI_90_0.5, IVH_RVRI_50_0.5, Shape_spherDisprop_0.5, IH_kurtosis_0.5, GLDZM_DZV_0.5"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Original Radiomics Features,Interpolation,FBW,0.2,9,0.64,0.5,0.27,0.65,"Shape_centroidDistance_0.2, IVH_RVRI_70_0.2, Shape_elongation_0.2, IVH_TLGRI_90_0.2, NGLDM_HGLDE_0.2, GLSZM_LILAE_0.2, IVH_RVRI_50_0.2, IVH_RVRI_80_0.2, IVH_RVRI_90_0.2"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Original Radiomics Features,Interpolation,FBW,0.1,9,0.57,0.43,0.24,0.54,"IVH_RVRI_80_0.1, GLRLM_LGRE_0.1, Shape_elongation_0.1, IVH_TLGRI_90_0.1, Shape_centroidDistance_0.1, GLRLM_SRLGE_0.1, NGLDM_HGLDE_0.1, IVH_RVRI_70_0.1, GLSZM_SZN_0.1"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Original Radiomics Features,Interpolation,FBW,0.05,9,0.49,0.29,0.19,0.34,"IH_p10_0.05, Shape_elongation_0.05, IH_skewness_0.05, IVH_RVRI_70_0.05, Shape_maxDiameter2D2_0.05, Shape_spherDisprop_0.05, NGLDM_SM2_0.05, Stats_skewness_0.05, IVH_RVRI_80_0.05"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Original Radiomics Features,Interpolation,FBN,64,6,0.63,0.45,0.27,0.55,"IVH_RVRI_80_64, IVH_RVRI_90_64, IVH_RVRI_50_64, IVH_RVRI_70_64, Stats_qcod_64, NGLDM_LGLDE_64"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Original Radiomics Features,Interpolation,FBN,32,7,0.63,0.42,0.3,0.49,"NGLDM_SM2_32, Stats_cov_32, IVH_RVRI_80_32, GLRLM_GLNN_32, GLDZM_INN_32, IVH_TLGRI_80_32, IVH_RVRI_40_32"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Original Radiomics Features,Combat harmonization,FBW,0.5,6,0.51,0.18,0.11,0.21,"IVH_RVRI_40_0.5, GLSZM_LILAE_0.5, NGLDM_DN_0.5, GLDZM_SDE_0.5, NGTDM_complexity_0.5, IH_maxGrad_0.5"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Original Radiomics Features,Combat harmonization,FBW,0.2,7,0.46,0.23,0.16,0.28,"IH_maxGrad_0.2, GLSZM_LAE_0.2, NGTDM_complexity_0.2, GLDZM_DZV_0.2, IVH_TLGRI_70_0.2, NGLDM_DN_0.2, GLDZM_SDE_0.2"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Original Radiomics Features,Combat harmonization,FBW,0.1,9,0.51,0.33,0.21,0.4,"GLCM_clusProm_0.1, GLDZM_DZNN_0.1, GLSZM_HILAE_0.1, Shape_areaDensityBB_0.1, IVH_TLGRI_70_0.1, IVH_RVRI_40_0.1, Shape_compactness2_0.1, NGTDM_complexity_0.1, GLCM_correl1_0.1"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Original Radiomics Features,Combat harmonization,FBW,0.05,9,0.49,0.33,0.22,0.4,"IVH_RVRI_70_0.05, IVH_RVRI_40_0.05, NGTDM_busyness_0.05, GLSZM_LAE_0.05, GLCM_clusShade_0.05, GLDZM_DZV_0.05, GLCM_infoCorr2_0.05, GLSZM_LILAE_0.05, GLDZM_LDE_0.05"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Original Radiomics Features,Combat harmonization,FBN,64,10,0.66,0.51,0.31,0.63,"GLDZM_DZNN_64, Stats_qcod_64, GLDZM_HILDE_64, GLDZM_LDE_64, IVH_RVRI_70_64, IVH_RVRI_80_64, Stats_cov_64, Shape_sphericity_64, IVH_RVRI_40_64, Shape_compactness2_64"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Original Radiomics Features,Combat harmonization,FBN,32,9,0.67,0.43,0.27,0.52,"GLCM_maxProb_32, GLDZM_DZV_32, NGTDM_busyness_32, Stats_qcod_32, Shape_compactness3_32, IVH_TLGRI_60_32, GLDZM_LDE_32, GLDZM_DZNN_32, Shape_centroidDistance_32"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.5,8,0.63,0.38,0.28,0.42,"IVH_RVRI_90_0.5, IVH_RVRI_60_0.5, IVH_RVRI_50_0.5, IH_kurtosis_0.5, IVH_AVRI_90_0.5, GLDZM_LDE_0.5, IVH_RVRI_40_0.5, IVH_RVRI_70_0.5"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.2,10,0.7,0.4,0.33,0.43,"IVH_RVRI_90_0.2, GLCM_clusShade_0.2, IH_skewness_0.2, IVH_AVRI_90_0.2, Shape_areaDensityBB_0.2, IVH_RVRI_50_0.2, IVH_RVRI_40_0.2, IVH_RVRI_60_0.2, IVH_RVRI_80_0.2, IVH_RVRI_70_0.2"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.1,6,0.71,0.46,0.33,0.52,"IVH_RVRI_50_0.1, IVH_AVRI_90_0.1, GLCM_clusShade_0.1, IVH_RVRI_80_0.1, IVH_RVRI_90_0.1, IVH_RVRI_70_0.1"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.05,10,0.65,0.5,0.31,0.6,"IVH_RVRI_90_0.05, IVH_RVRI_60_0.05, GLCM_clusShade_0.05, IVH_AVRI_90_0.05, IVH_RVRI_50_0.05, IVH_TLGRI_90_0.05, IVH_RVRI_70_0.05, IVH_RVRI_40_0.05, Stats_skewness_0.05, GLCM_infoCorr1_0.05"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Tumor to Liver ratio Radiomics Features,Clinical,FBN,64,3,0.52,0.34,0.22,0.4,"NGLDM_HGSDE_64, Shape_areaDensityBB_64, IVH_RVRI_60_64"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Tumor to Liver ratio Radiomics Features,Clinical,FBN,32,8,0.59,0.35,0.23,0.4,"IVH_RVRI_60_32, NGLDM_HGSDE_32, IVH_RVRI_90_32, IH_p90_32, GLSZM_HISAE_32, GLSZM_INN_32, IVH_RVRI_70_32, GLDZM_INN_32"
Mix,Logistic Regression,Embebed RF FS Accuracy decrease,Tumor to Liver ratio Radiomics Features,Interpolation,FBW,0.5,7,0.64,0.43,0.26,0.52,"IVH_RVRI_90_0.5, IVH_RVRI_80_0.5, GLCM_infoCorr2_0.5, IVH_AVRI_90_0.5, Shape_leastaxislength_0.5, Shape_areaDensityBB_0.5, GLRLM_RE_0.5"
